id,vocalized,unvocalized,wordtype,root,wazn,category,gender,feminin,masculin,broken_plural,feminable,masculin_plural,feminin_plural,mamnou3_sarf,relative,plural_tanwin_nasb
1089,دَانِي,داني,فاعل:,دنو,,فاعل,مذكر,,,دُنَاةٌ,1,1,1,0,0,
1090,دَاهِرٌ,داهر,فاعل:,دهر,فَاعِلٌ,فاعل,مذكر,,,,1,1,1,0,0,
1091,دَاهِسٌ,داهس,فاعل:,دهس,فَاعِلٌ,فاعل,مذكر,,,,1,1,1,0,0,
1092,مُدْهِشٌ,مدهش,فاعل:,دهش,,فاعل,مذكر,,,,1,1,1,0,0,
1093,دَاهِقٌ,داهق,فاعل:,دهق,فَاعِلٌ,فاعل,مذكر,,,,1,1,1,0,0,
1094,دَاهِكٌ,داهك,فاعل:,دهك,فَاعِلٌ,فاعل,مذكر,,,,1,1,1,0,0,
1095,مُدَاهِمٌ,مداهم,فاعل:,دهم,,فاعل,مذكر,,,,1,1,1,0,0,
1096,دَاهِمٌ,داهم,فاعل:,دهم,فَاعِلٌ,فاعل,مذكر,,,,1,1,1,0,0,
1097,مُدَاهِنٌ,مداهن,فاعل:,دهن,,فاعل,مذكر,,,,1,1,1,0,0,
1098,دَاهِنٌ,داهن,فاعل:,دهن,فَاعِلٌ,فاعل,مذكر,,,,1,1,1,0,0,
1099,مُتَدَهِّنٌ,متدهن,فاعل:,دهن,مُتَفَعِّلٌ,فاعل,مذكر,,,,1,1,1,0,0,
1100,مُتَدَهْوِرٌ,متدهور,فاعل:,دهور,مُتَفَعْلِلٌ,فاعل,مذكر,,,,1,1,1,0,0,
1101,دَاهِي,داهي,فاعل:,دهي,,فاعل,مذكر,,,دُهَاةٌ,1,0,1,0,0,
1102,مُدَوِّخٌ,مدوخ,فاعل:,دوخ,مُفَعِّلٌ,فاعل,مذكر,,,,1,1,1,0,0,
1103,مُدَوِّدٌ,مدود,فاعل:,دود,مُفَعِّلٌ,فاعل,مذكر,,,,1,1,1,0,0,
1104,مُدِيرٌ,مدير,فاعل:,دور,,فاعل,مذكر,,,مُدَرَاءُ,1,1,1,0,1,
1105,مُدَاوِرٌ,مداور,فاعل:,دور,,فاعل,مذكر,,,,1,1,1,0,0,
1106,مُدَوِّرٌ,مدور,فاعل:,دور,مُفَعِّلٌ,فاعل,مذكر,,,,1,1,1,0,0,
1107,مُتَدَاوِلٌ,متداول,فاعل:,دول,مُتَفَاعِلٌ,فاعل,مذكر,,,,1,1,1,0,0,
1108,مُسْتَدِيمٌ,مستديم,فاعل:,دوم,,فاعل,مذكر,,,,1,1,1,0,0,
1109,دَائِمٌ,دائم,فاعل:,دوم,,فاعل,مذكر,,,,1,1,1,0,0,
1110,مُدَاوِمٌ,مداوم,فاعل:,دوم,,فاعل,مذكر,,,,1,1,1,0,0,
1111,مُدَوِّنٌ,مدون,فاعل:,دون,مُفَعِّلٌ,فاعل,مذكر,,,,1,1,1,0,0,
1112,دَاوِي,داوي,فاعل:,دوي,,فاعل,مذكر,,,,1,0,1,0,0,
1113,مُدَيِّثٌ,مديث,فاعل:,ديث,مُفَعِّلٌ,فاعل,مذكر,,,,1,1,1,0,0,
1114,مُدِينٌ,مدين,فاعل:,دين,,فاعل,مذكر,,,,1,1,1,0,0,
1115,مُسْتَدِينٌ,مستدين,فاعل:,دين,,فاعل,مذكر,,,,1,1,1,0,0,
1116,مُتَدَيِّنٌ,متدين,فاعل:,دين,,فاعل,مذكر,,,,1,1,1,0,0,
1117,دَائِنٌ,دائن,فاعل:,دين,,فاعل,مذكر,,,,1,1,1,0,0,
1118,مُتَدَايِنٌ,متداين,فاعل:,دين,مُتَفَاعِلٌ,فاعل,مذكر,,,,1,1,1,0,0,
1119,ذَابِحٌ,ذابح,فاعل:,ذبح,فَاعِلٌ,فاعل,مذكر,,,,1,1,1,0,0,
1120,مُذَبِّحٌ,مذبح,فاعل:,ذبح,مُفَعِّلٌ,فاعل,مذكر,,,,1,1,1,0,0,
1121,مُتَذَبْذِبٌ,متذبذب,فاعل:,ذبذب,,فاعل,مذكر,,,,1,1,1,0,0,
1122,ذَابِرٌ,ذابر,فاعل:,ذبر,فَاعِلٌ,فاعل,مذكر,,,,1,1,1,0,0,
1123,ذَابِلٌ,ذابل,فاعل:,ذبل,,فاعل,مذكر,,,ذُبَّلٌ;ذُبُلٌ,1,0,1,0,0,
1124,ذَاخِرٌ,ذاخر,فاعل:,ذخر,,فاعل,مذكر,,,,1,1,1,0,0,
1125,مُذَخِّرٌ,مذخر,فاعل:,ذخر,مُفَعِّلٌ,فاعل,مذكر,,,,1,1,1,0,0,
1126,ذَارِبٌ,ذارب,فاعل:,ذرب,فَاعِلٌ,فاعل,مذكر,,,,1,1,1,0,0,
1127,ذَارِحٌ,ذارح,فاعل:,ذرح,فَاعِلٌ,فاعل,مذكر,,,,1,1,1,0,0,
